date,RP1,RP2,RP3,RP6,RP12
7/30/1996,0.034881238,0.032488757,0.029168419,0.030082732,0.026866543
7/31/1996,0.032846502,0.030678252,0.028363483,0.029419971,0.026462928
8/1/1996,0.030296915,0.027987942,0.026153477,0.026705303,0.024349075
8/2/1996,0.023666406,0.023331802,0.022942917,0.024909944,0.023459822
8/5/1996,0.025838449,0.024490355,0.02417213,0.025099654,0.023345657
8/6/1996,0.024978466,0.024049681,0.024033163,0.024914631,0.023514792
8/7/1996,0.023516756,0.022884309,0.023451336,0.024736983,0.023229238
8/8/1996,0.022880457,0.02288788,0.023769166,0.024808622,0.023347462
8/9/1996,0.0223657,0.023232298,0.02396502,0.024295011,0.022940037
8/12/1996,0.022208091,0.02164778,0.022589653,0.023693054,0.022913658
8/13/1996,0.024067642,0.023576344,0.024269773,0.024319349,0.023122432
8/14/1996,0.022562146,0.022845149,0.023877283,0.024189631,0.022971901
8/15/1996,0.021187708,0.022885938,0.023904066,0.024204823,0.023042433
8/16/1996,0.019742408,0.020853869,0.022354935,0.023604709,0.022967557
8/19/1996,0.020178727,0.02159077,0.017581847,0.023517357,0.022856045
8/20/1996,0.019056979,0.020780295,0.016492842,0.023573069,0.022864481
8/21/1996,0.017770921,0.020523576,0.016764781,0.023300665,0.022789922
8/22/1996,0.016693908,0.017832294,0.017271181,0.021906337,0.022630475
8/23/1996,0.017820302,0.019699978,0.019362182,0.02321076,0.022695002
8/26/1996,0.021271484,0.021630569,0.020871248,0.024069475,0.022697466
8/27/1996,0.020229838,0.022538777,0.023792833,0.023959958,0.023152603
8/28/1996,0.020822441,0.02307139,0.024297661,0.024058223,0.023172201
8/29/1996,0.02300232,0.02525151,0.026378185,0.025373403,0.023905822
8/30/1996,0.025895911,0.027936618,0.028388947,0.026085884,0.023540508
9/3/1996,0.029401255,0.028404203,0.028820457,0.026475495,0.024161974
9/4/1996,0.029495712,0.028775738,0.028843987,0.027332125,0.024435696
9/5/1996,0.03528967,0.03342527,0.032417401,0.028923679,0.027532972
9/6/1996,0.0258442,0.027033609,0.027891923,0.026645132,0.023922172
9/9/1996,0.023943003,0.024388361,0.026113617,0.025562721,0.024273289
9/10/1996,0.023640327,0.024340389,0.025854198,0.025133926,0.024158988
9/11/1996,0.022785018,0.024259972,0.025372041,0.024991418,0.024307871
9/12/1996,0.022868176,0.023849868,0.025402318,0.024850437,0.024845428
9/13/1996,0.019905582,0.022724357,0.024087049,0.023768371,0.022896282
9/16/1996,0.02212541,0.02250448,0.024169526,0.023793866,0.022307287
9/17/1996,0.022007684,0.023065678,0.024727298,0.024301058,0.023024665
9/18/1996,0.02227773,0.024294759,0.025481806,0.024447366,0.023058024
9/19/1996,0.022006146,0.023559675,0.025353059,0.024427628,0.023227183
9/20/1996,0.020681579,0.022747623,0.024281139,0.023563349,0.022445367
9/23/1996,0.023993077,0.024239612,0.025495646,0.024097769,0.017725424
9/24/1996,0.023108377,0.024692941,0.025722118,0.024962378,0.018607552
